Provincia,Partido,Localidad,ADSL,Cablemódem,Dial Up,Fibra Óptica,Otros,Satelital,Wimax,Wireless,Total General
Buenos Aires,Benito Juárez,Villa Cacique (est. Alfredo Fortabat),0,0,0,20,0,1,0,100,121
Buenos Aires,Berazategui,Berazategui,162,1763,42,242,57,6,0,49,2321
Buenos Aires,Berazategui,Berazategui Oeste,16,74,0,1524,0,0,0,0,1614
Buenos Aires,Berazategui,Carlos Tomás Sourigues,17,147,0,162,0,0,0,0,326
Buenos Aires,Berazategui,Centro Agrícola El Pato,202,146,0,0,0,0,0,16,364
Buenos Aires,Berazategui,Guillermo E. Hudson,130,648,2,9,3,0,0,0,792
Buenos Aires,Berazategui,Juan María Gutierrez,501,223,4,306,0,0,0,90,1124
Buenos Aires,Berazategui,Pereyra,9,242,1,310,0,0,0,0,562
Buenos Aires,Berazategui,Plátanos,0,194,0,22,1,0,0,0,217
Buenos Aires,Berazategui,Ranelagh,39,295,13,737,0,1,0,0,1085
Buenos Aires,Berazategui,Villa España,2,122,0,212,0,0,0,0,336
Buenos Aires,Berisso,Berisso,42,1254,23,719,29,0,0,368,2435
Buenos Aires,Berisso,Villa Nueva,0,0,0,132,0,0,0,250,382
Buenos Aires,Berisso,Barrio El Carmen (este),0,0,0,132,0,0,0,250,382
Buenos Aires,Berisso,Villa Arguello,0,0,0,132,0,0,0,250,382
Buenos Aires,Berisso,Villa Progreso,0,0,0,132,0,0,0,250,382
Buenos Aires,Bolívar,Otros,0,1,0,1,0,0,0,0,2
Buenos Aires,Bolívar,Pirovano,0,0,0,0,50,0,0,45,95
Buenos Aires,Bolívar,San Carlos de Bolívar (est. Bolívar),963,514,2,0,0,1,0,255,1735
Buenos Aires,Bolívar,Urdampilleta,0,0,6,2,6,0,0,71,85
Buenos Aires,Bolívar,Hale,10,0,0,0,0,0,0,0,10
Buenos Aires,Bragado,Bragado,674,414,10,127,0,0,0,212,1437
Buenos Aires,Bragado,General O'brien,321,0,0,83,0,0,0,36,440
Buenos Aires,Bragado,Irala,0,2,0,0,0,0,0,22,24
Buenos Aires,Bragado,Mechita (est. Mecha),10,8,0,0,0,0,0,8,26
Buenos Aires,Bragado,Warnes,135,0,0,0,9,0,0,7,151
Buenos Aires,Bragado,Comodoro Py,0,0,0,220,0,0,0,2,222
Buenos Aires,Bragado,Olascoaga,0,0,0,0,0,0,0,40,40
Buenos Aires,Brandsen,Coronel Brandsen,18,5,0,153,2,0,0,114,292
Buenos Aires,Brandsen,Jeppener,676,0,0,2,0,0,0,0,678
Buenos Aires,Campana,Campana,198,1777,1,978,18,5,0,43,3020
Buenos Aires,Campana,Lomas del Río Luján (est. Río Luján),0,50,0,0,0,0,0,0,50
Buenos Aires,Campana,Alto Los Cardales,0,0,0,106,0,0,0,41,147
Buenos Aires,Campana,Barrio Los Pioneros,0,0,0,0,0,0,0,40,40
Buenos Aires,Campana,Chacras del Río Luján,0,0,0,0,0,0,0,35,35
Buenos Aires,Cañuelas,Alejandro Petión,206,858,7,0,0,0,0,44,1115
Buenos Aires,Cañuelas,Barrio El Taladro,0,0,0,200,0,0,0,0,200
Buenos Aires,Cañuelas,Cañuelas,123,514,33,226,0,1,0,526,1423
Buenos Aires,Cañuelas,Máximo Paz,0,274,0,3,0,0,0,270,547
Buenos Aires,Cañuelas,Santa Rosa,0,0,0,0,0,2,0,233,235
Buenos Aires,Cañuelas,Uribelarrea,60,0,0,686,0,0,0,141,887
Buenos Aires,Cañuelas,Vicente Casares,228,0,2,0,0,0,0,25,255
Buenos Aires,Cañuelas,Barrio Belgrano-máximo Paz,0,0,0,0,0,0,0,48,48
Buenos Aires,Cañuelas,Gobernador Udaondo,0,0,0,0,0,0,0,20,20
Buenos Aires,Capitán Sarmiento,Capitán Sarmiento,180,396,0,82,0,0,0,89,747
